Machine Module SVA1032X Plus
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+5.000000000E+07
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,-1.575369e+01
1.665333e+05,-1.420895e+01
2.330667e+05,-1.376292e+01
2.996000e+05,-1.353528e+01
3.661333e+05,-1.343795e+01
4.326667e+05,-1.333094e+01
4.992000e+05,-1.330690e+01
5.657333e+05,-1.324371e+01
6.322667e+05,-1.323627e+01
6.988000e+05,-1.321268e+01
7.653333e+05,-1.319691e+01
8.318667e+05,-1.316570e+01
8.984000e+05,-1.318374e+01
9.649333e+05,-1.318404e+01
1.031467e+06,-1.316094e+01
1.098000e+06,-1.316725e+01
1.164533e+06,-1.315436e+01
1.231067e+06,-1.316845e+01
1.297600e+06,-1.315573e+01
1.364133e+06,-1.315205e+01
1.430667e+06,-1.315982e+01
1.497200e+06,-1.315662e+01
1.563733e+06,-1.315701e+01
1.630267e+06,-1.314972e+01
1.696800e+06,-1.314522e+01
1.763333e+06,-1.315032e+01
1.829867e+06,-1.314963e+01
1.896400e+06,-1.315566e+01
1.962933e+06,-1.315658e+01
2.029467e+06,-1.314879e+01
2.096000e+06,-1.315124e+01
2.162533e+06,-1.315320e+01
2.229067e+06,-1.315675e+01
2.295600e+06,-1.315728e+01
2.362133e+06,-1.314961e+01
2.428667e+06,-1.315945e+01
2.495200e+06,-1.315224e+01
2.561733e+06,-1.314972e+01
2.628267e+06,-1.315335e+01
2.694800e+06,-1.314949e+01
2.761333e+06,-1.314793e+01
2.827867e+06,-1.314949e+01
2.894400e+06,-1.314625e+01
2.960933e+06,-1.316228e+01
3.027467e+06,-1.316269e+01
3.094000e+06,-1.315900e+01
3.160533e+06,-1.316549e+01
3.227067e+06,-1.316339e+01
3.293600e+06,-1.316542e+01
3.360133e+06,-1.316463e+01
3.426667e+06,-1.317177e+01
3.493200e+06,-1.316967e+01
3.559733e+06,-1.317490e+01
3.626267e+06,-1.317677e+01
3.692800e+06,-1.317271e+01
3.759333e+06,-1.317717e+01
3.825867e+06,-1.318477e+01
3.892400e+06,-1.317387e+01
3.958933e+06,-1.318440e+01
4.025467e+06,-1.317895e+01
4.092000e+06,-1.318509e+01
4.158533e+06,-1.318570e+01
4.225067e+06,-1.318465e+01
4.291600e+06,-1.317928e+01
4.358133e+06,-1.318887e+01
4.424667e+06,-1.318623e+01
4.491200e+06,-1.318727e+01
4.557733e+06,-1.318767e+01
4.624267e+06,-1.318959e+01
4.690800e+06,-1.318565e+01
4.757333e+06,-1.318869e+01
4.823867e+06,-1.320189e+01
4.890400e+06,-1.318613e+01
