Machine Module SVA1032X Plus
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+5.000000000E+07
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,-1.994515e+01
1.665333e+05,-1.807263e+01
2.330667e+05,-1.729083e+01
2.996000e+05,-1.697734e+01
3.661333e+05,-1.676642e+01
4.326667e+05,-1.663557e+01
4.992000e+05,-1.653529e+01
5.657333e+05,-1.651054e+01
6.322667e+05,-1.644868e+01
6.988000e+05,-1.642300e+01
7.653333e+05,-1.638125e+01
8.318667e+05,-1.636231e+01
8.984000e+05,-1.635132e+01
9.649333e+05,-1.637223e+01
1.031467e+06,-1.632771e+01
1.098000e+06,-1.634573e+01
1.164533e+06,-1.632387e+01
1.231067e+06,-1.633439e+01
1.297600e+06,-1.631665e+01
1.364133e+06,-1.630406e+01
1.430667e+06,-1.629927e+01
1.497200e+06,-1.629247e+01
1.563733e+06,-1.631019e+01
1.630267e+06,-1.631878e+01
1.696800e+06,-1.628881e+01
1.763333e+06,-1.630286e+01
1.829867e+06,-1.627871e+01
1.896400e+06,-1.627715e+01
1.962933e+06,-1.629588e+01
2.029467e+06,-1.629513e+01
2.096000e+06,-1.630321e+01
2.162533e+06,-1.628895e+01
2.229067e+06,-1.627083e+01
2.295600e+06,-1.626863e+01
2.362133e+06,-1.628821e+01
2.428667e+06,-1.628443e+01
2.495200e+06,-1.628534e+01
2.561733e+06,-1.629641e+01
2.628267e+06,-1.629485e+01
2.694800e+06,-1.628537e+01
2.761333e+06,-1.627851e+01
2.827867e+06,-1.628339e+01
2.894400e+06,-1.629806e+01
2.960933e+06,-1.627696e+01
3.027467e+06,-1.628756e+01
3.094000e+06,-1.627674e+01
3.160533e+06,-1.627897e+01
3.227067e+06,-1.627896e+01
3.293600e+06,-1.628030e+01
3.360133e+06,-1.629101e+01
3.426667e+06,-1.627713e+01
3.493200e+06,-1.628199e+01
3.559733e+06,-1.628538e+01
3.626267e+06,-1.628563e+01
3.692800e+06,-1.628576e+01
3.759333e+06,-1.628166e+01
3.825867e+06,-1.627268e+01
3.892400e+06,-1.627725e+01
3.958933e+06,-1.628368e+01
4.025467e+06,-1.629388e+01
4.092000e+06,-1.627275e+01
4.158533e+06,-1.628831e+01
4.225067e+06,-1.627253e+01
4.291600e+06,-1.628344e+01
4.358133e+06,-1.628437e+01
4.424667e+06,-1.628173e+01
4.491200e+06,-1.627949e+01
4.557733e+06,-1.626920e+01
4.624267e+06,-1.627953e+01
4.690800e+06,-1.629248e+01
4.757333e+06,-1.628218e+01
4.823867e+06,-1.628292e+01
4.890400e+06,-1.627912e+01
