Machine Module SVA1032X Plus
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+5.000000000E+07
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,-5.780670e+01
1.665333e+05,-5.896940e+01
2.330667e+05,-6.464450e+01
2.996000e+05,-5.819406e+01
3.661333e+05,-6.668643e+01
4.326667e+05,-6.744739e+01
4.992000e+05,-7.155812e+01
5.657333e+05,-6.490972e+01
6.322667e+05,-9.243432e+01
6.988000e+05,-6.574300e+01
7.653333e+05,-7.410221e+01
8.318667e+05,-6.905902e+01
8.984000e+05,-7.559867e+01
9.649333e+05,-7.004082e+01
1.031467e+06,-7.868059e+01
1.098000e+06,-7.030163e+01
1.164533e+06,-7.190010e+01
1.231067e+06,-6.775283e+01
1.297600e+06,-7.819937e+01
1.364133e+06,-6.968495e+01
1.430667e+06,-6.604848e+01
1.497200e+06,-7.891120e+01
1.563733e+06,-7.551972e+01
1.630267e+06,-6.839563e+01
1.696800e+06,-7.089995e+01
1.763333e+06,-7.853969e+01
1.829867e+06,-6.852621e+01
1.896400e+06,-7.290370e+01
1.962933e+06,-7.069411e+01
2.029467e+06,-7.149278e+01
2.096000e+06,-6.925965e+01
2.162533e+06,-6.633572e+01
2.229067e+06,-6.477965e+01
2.295600e+06,-7.598300e+01
2.362133e+06,-7.224161e+01
2.428667e+06,-6.922879e+01
2.495200e+06,-6.588944e+01
2.561733e+06,-6.493948e+01
2.628267e+06,-6.711826e+01
2.694800e+06,-6.688372e+01
2.761333e+06,-6.818703e+01
2.827867e+06,-6.878849e+01
2.894400e+06,-6.493332e+01
2.960933e+06,-7.021177e+01
3.027467e+06,-6.614178e+01
3.094000e+06,-6.806474e+01
3.160533e+06,-6.477248e+01
3.227067e+06,-6.650435e+01
3.293600e+06,-7.278369e+01
3.360133e+06,-6.102697e+01
3.426667e+06,-6.712646e+01
3.493200e+06,-6.593014e+01
3.559733e+06,-6.996468e+01
3.626267e+06,-6.289608e+01
3.692800e+06,-6.296795e+01
3.759333e+06,-6.491492e+01
3.825867e+06,-6.502231e+01
3.892400e+06,-6.325227e+01
3.958933e+06,-6.198778e+01
4.025467e+06,-6.641908e+01
4.092000e+06,-6.299996e+01
4.158533e+06,-6.480179e+01
4.225067e+06,-6.395052e+01
4.291600e+06,-6.365894e+01
4.358133e+06,-6.540805e+01
4.424667e+06,-6.455011e+01
4.491200e+06,-6.091760e+01
4.557733e+06,-6.411381e+01
4.624267e+06,-6.600361e+01
4.690800e+06,-6.252907e+01
4.757333e+06,-6.181908e+01
4.823867e+06,-6.380322e+01
4.890400e+06,-6.298582e+01
