Machine Module SVA1032X Plus
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+5.000000000E+07
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
1.000000e+05,-1.555599e+01
1.665333e+05,-1.427402e+01
2.330667e+05,-1.371709e+01
2.996000e+05,-1.348805e+01
3.661333e+05,-1.340804e+01
4.326667e+05,-1.332417e+01
4.992000e+05,-1.327528e+01
5.657333e+05,-1.323404e+01
6.322667e+05,-1.322950e+01
6.988000e+05,-1.321322e+01
7.653333e+05,-1.320828e+01
8.318667e+05,-1.320018e+01
8.984000e+05,-1.318644e+01
9.649333e+05,-1.317471e+01
1.031467e+06,-1.316945e+01
1.098000e+06,-1.315539e+01
1.164533e+06,-1.316707e+01
1.231067e+06,-1.316281e+01
1.297600e+06,-1.315865e+01
1.364133e+06,-1.316030e+01
1.430667e+06,-1.315379e+01
1.497200e+06,-1.315020e+01
1.563733e+06,-1.315572e+01
1.630267e+06,-1.314670e+01
1.696800e+06,-1.314785e+01
1.763333e+06,-1.314277e+01
1.829867e+06,-1.313157e+01
1.896400e+06,-1.315249e+01
1.962933e+06,-1.313592e+01
2.029467e+06,-1.316843e+01
2.096000e+06,-1.314799e+01
2.162533e+06,-1.315370e+01
2.229067e+06,-1.315254e+01
2.295600e+06,-1.314843e+01
2.362133e+06,-1.316156e+01
2.428667e+06,-1.316460e+01
2.495200e+06,-1.316139e+01
2.561733e+06,-1.315988e+01
2.628267e+06,-1.315156e+01
2.694800e+06,-1.315837e+01
2.761333e+06,-1.316113e+01
2.827867e+06,-1.316190e+01
2.894400e+06,-1.317222e+01
2.960933e+06,-1.315268e+01
3.027467e+06,-1.315288e+01
3.094000e+06,-1.315952e+01
3.160533e+06,-1.316122e+01
3.227067e+06,-1.316823e+01
3.293600e+06,-1.316705e+01
3.360133e+06,-1.316459e+01
3.426667e+06,-1.316255e+01
3.493200e+06,-1.316284e+01
3.559733e+06,-1.316134e+01
3.626267e+06,-1.316146e+01
3.692800e+06,-1.317783e+01
3.759333e+06,-1.315711e+01
3.825867e+06,-1.316052e+01
3.892400e+06,-1.316805e+01
3.958933e+06,-1.316919e+01
4.025467e+06,-1.316582e+01
4.092000e+06,-1.317341e+01
4.158533e+06,-1.317701e+01
4.225067e+06,-1.318517e+01
4.291600e+06,-1.317608e+01
4.358133e+06,-1.317987e+01
4.424667e+06,-1.317308e+01
4.491200e+06,-1.317355e+01
4.557733e+06,-1.318115e+01
4.624267e+06,-1.319300e+01
4.690800e+06,-1.317339e+01
4.757333e+06,-1.318716e+01
4.823867e+06,-1.318542e+01
4.890400e+06,-1.318691e+01
